# From Gordon et al. (2009, ApJ, 705, 1320), Table 3
# Edited to have uniform star names and clear column names
#Name	        CAV1   CAV1_runc  CAV1_sunc     CAV2    CAV2_runc  CAV2_sunc    CAV3    CAV3_runc  CAV3_sunc    CAV4    CAV4_runc  CAV4_sunc    x_o      x_o_runc  x_o_sunc    gamma   gamma_runc gamma_sunc	
HD199579	0.37      0.085      0.025	0.38      0.018      0.024	1.28      0.141      0.088	0.14      0.017      0.009	4.57      0.052      0.013	1.12      0.024      0.015	
HD200775	1.08      0.036      0.014	0.11      0.006      0.002	0.75      0.058      0.028	0.09      0.005      0.002	4.55      0.043      0.007	1.40      0.034      0.026	
HD203938	0.95      0.025      0.017	0.23      0.005      0.006	1.39      0.046      0.030	0.14      0.005      0.003	4.57      0.011      0.006	1.07      0.015      0.008	
HD206267	0.55      0.067      0.026	0.37      0.013      0.017	1.68      0.101      0.081	0.20      0.013      0.009	4.58      0.026      0.008	1.06      0.020      0.010	
HD206773	0.84      0.070      0.020	0.18      0.012      0.007	0.75      0.073      0.025	0.04      0.007      0.002	4.57      0.041      0.010	1.04      0.023      0.016	
HD207198	0.73      0.049      0.019	0.35      0.010      0.008	1.16      0.068      0.028	0.20      0.010      0.005	4.62      0.027      0.009	1.04      0.018      0.008	
HD209339	1.08      0.089      0.047	0.22      0.017      0.011	1.03      0.081      0.048	0.11      0.010      0.005	4.57      0.034      0.012	0.91      0.019      0.011	
HD216898	1.11      0.014      0.021	0.20      0.003      0.005	1.36      0.041      0.036	0.10      0.005      0.002	4.59      0.012      0.009	0.99      0.019      0.012	
HD239729	0.87      0.049      0.021	0.26      0.009      0.008	1.16      0.060      0.029	0.18      0.008      0.004	4.60      0.022      0.009	1.11      0.021      0.011	
HD326329	1.07      0.074      0.077	0.27      0.013      0.020	1.20      0.089      0.093	0.12      0.009      0.009	4.61      0.033      0.016	0.95      0.024      0.018	
HD332407	0.64      0.050      0.025	0.31      0.009      0.011	1.27      0.067      0.051	0.10      0.007      0.004	4.57      0.024      0.010	1.01      0.019      0.011	
